"Category","Wages"
"Luxembourg",89767.203
"Iceland",87420.824
"Switzerland",83332.333
"United States",80115.273
"Belgium",73205.848
"Norway",71971.9
"Austria",71166.761
"Netherlands",70185.496
"Denmark",69524.927
"Australia",67100.875
"Canada",66211.157
"Germany",65719.262
"France",59086.814
"OECD",58231.573
"New Zealand",58097.109
"Sweden",57995.914
"Finland",57859.844
"United Kingdom",57617.128
"Ireland",56808.53
"Slovenia",55660.079
"Spain",51336.111
"Israel",50963.658
"Korea",49062.421
"Italy",48874.327
"Lithuania",48864.391
"Japan",46792.135
"Poland",41049.635
"Latvia",38739.999
"Portugal",37499.582
"Estonia",37403.843
"Czechia",37365.641
"Slovak Rep.",31732.765
"Hungary",31709.388
"Greece",30237.734
"Mexico",20474.061
