"State","under_5","over_64","bachelors_degree","total"
"Alabama",295811.997,741954.681,1095959.202,4849377
"Alaska",54518.168,69252.808,202601.3,736732
"Arizona",430814.976,1070305.956,1810769.196,6731484
"Arkansas",192813.985,465719.933,596240.169,2966369
"California",2522162.5,5005522.5,11912367.5,38802500
"Colorado",337419.558,680194.982,1981670.42,5355866
"Connecticut",190623.881,557484.935,1312787.105,3596677
"Delaware",56136.84,153440.696,270392.446,935614
"District Of Columbia",42828.045,74454.909,345259.932,658893
"Florida",1094131.335,3799619.727,5251830.408,19893297
"Georgia",666424.638,1252070.532,2827256.04,10097343
"Hawaii",90851.904,228549.321,427287.861,1419561
"Idaho",114412.48,233728.352,410250.464,1634464
"Illinois",785715.38,1790400.62,4044502.12,12880580
"Indiana",422198.72,943350.265,1530470.36,6596855
"Iowa",195748.938,490925.908,798531.382,3107126
"Kansas",200377.449,415275.003,879918.363,2904021
"Kentucky",278047.791,653191.636,948893.255,4413457
"Louisiana",306878.616,632355.936,1013629.368,4649676
"Maine",65174.361,243406.287,371094.831,1330089
"Maryland",370537.234,824744.166,2199317.776,5976407
"Massachusetts",364252.032,1018556.608,2657690.752,6745408
"Michigan",574772.866,1526121.058,2566658.143,9909877
"Minnesota",349259.072,780375.739,1779038.398,5457173
"Mississippi",194615.135,428153.297,601809.879,2994079
"Missouri",375942.518,933792.706,1588660.318,6063589
"Montana",61414.74,170937.693,293767.173,1023579
"Nebraska",129823.707,270936.432,536228.355,1881503
"Nevada",176024.138,403152.058,635958.176,2839099
"New Hampshire",65013.837,210963.267,447135.981,1326813
"New Jersey",536290.5,1313911.725,3199866.65,8938175
"New Mexico",137647.752,319092.516,538077.576,2085572
"New York",1184773.62,2902695.369,6555747.364,19746227
"North Carolina",606581.804,1461762.708,2714702.172,9943964
"North Dakota",51024.258,105006.444,201139.104,739482
"Ohio",695649.78,1797095.265,2921729.076,11594163
"Oklahoma",263707.468,562317.395,911341.985,3878051
"Oregon",230273.862,635238.24,1179160.983,3970239
"Pennsylvania",716083.704,2135463.903,3516482.475,12787209
"Rhode Island",54868.996,165662.161,330269.149,1055173
"South Carolina",289948.92,763532.156,1212952.982,4832482
"South Dakota",60575.425,130535.775,223531.85,853175
"Tennessee",399510.472,988952.152,1558745.776,6549352
"Texas",1967857.934,3100050.17,7197507.786,26956958
"Utah",253089.572,294290.2,891699.306,2942902
"Vermont",30701.538,105888.978,218043.576,626562
"Virginia",516229.918,1149027.882,2930853.728,8326289
"Washington",444876.39,995675.73,2252628.07,7061530
"West Virginia",101767.93,329358.028,338609.658,1850326
"Wisconsin",339696.276,875149.728,1543027.152,5757564
"Wyoming",37969.945,81781.42,144285.791,584153
